"country","ccode","year","wave","study","sldummy","slsdummy","hddummy","hdsdummy"
"United Kingdom",200,1999,4,"EVS",0.245880861850444,0.0659062103929024,0.131812420785805,0.0468948035487959
"Ireland",205,1999,4,"EVS",0.25599128540305,0.0849673202614379,0.0806100217864924,0.0326797385620915
"Netherlands",210,1999,4,"EVS",0.27217125382263,0.0499490316004077,0.0326197757390418,0.00407747196738022
"Belgium",211,1999,4,"EVS",0.307068366164542,0.0921205098493627,0.0938586326767092,0.0283893395133256
"Luxembourg",212,1999,4,"EVS",0.439232409381663,0.157782515991471,0.0778251599147122,0.0191897654584222
"France",220,1999,4,"EVS",0.338245614035088,0.129824561403509,0.108771929824561,0.04
"Spain",230,1999,4,"EVS",0.222340425531915,0.0372340425531915,0.0606382978723404,0.0148936170212766
"Portugal",235,1999,4,"EVS",0.358418367346939,0.0459183673469388,0.0943877551020408,0.0127551020408163
"Germany",255,1999,4,"EVS",0.192596566523605,0.0493562231759657,0.0584763948497854,0.0144849785407725
"Poland",290,1999,4,"EVS",0.20976692563818,0.072142064372919,0.159822419533851,0.0321864594894562
"Austria",305,1999,4,"EVS",0.157857646229739,0.0295983086680761,0.0373502466525722,0.00563777307963354
"Hungary",310,1999,4,"EVS",0.205479452054795,0.0753424657534247,0.125570776255708,0.0331050228310502
"Czech Republic",316,1999,4,"EVS",0.166185804962493,0.0288517022504328,0.0692440854010387,0.0138488170802077
"Slovakia",317,1999,4,"EVS",0.186784140969163,0.0581497797356828,0.160352422907489,0.0502202643171806
"Italy",325,1999,4,"EVS",0.150699677072121,0.0403659849300323,0.0333692142088267,0.00753498385360603
"Malta",338,1999,4,"EVS",0.190526315789474,0.0663157894736842,0.0631578947368421,0.0231578947368421
"Greece",350,1999,4,"EVS",0.0843806104129264,0.0296229802513465,0.0206463195691203,0.00987432675044883
"Sweden",380,1999,4,"EVS",0.206577595066804,0.0431654676258993,0.02672147995889,0
"Denmark",390,1999,4,"EVS",0.135362014690451,0.0493179433368311,0.0199370409233998,0.00629590766002099
"Iceland",395,1999,4,"EVS",0.105932203389831,0.0201271186440678,0.0211864406779661,0.00423728813559322
"Finland",375,2000,4,"EVS",0.246056782334385,0.0515247108307045,0.1198738170347,0.0168243953732913
"Ireland",205,2008,5,"EVS",0.305518169582773,0.0807537012113055,0.176312247644684,0.0592193808882907
"Netherlands",210,2008,5,"EVS",0.397089397089397,0.0956340956340956,0.0838530838530838,0.0152460152460152
