"uid","wave","wvsccode","year","region","censusd","censusr","raceethnic","white","black","hispanic","party","gop","strongleader","armyrule","expertdecision","havedem","demtaxrich","demrelig","demchooseleaders","demaidunemp","demarmycoup","demcivilrights","demeconomy","demcriminals","dempeoplelaws","demwomenrights","demincome","demimp","democraticness","age","female","unemployed","satisfin","ideo","socialclass","incscale","educat","hsedorless","lessthanhs","collegeed","educatr","emancvalues","kid_ind","kid_imag","kid_obed","laut","se_laut","menjob","menleaders","boycollege","lequ","se_lequ","hj","aj","dj","lcho","se_lcho","acsay","apsay","lvoi","se_lvoi","lemanc","sldummy","hddummy","z_sl","z_age","z_ideo","z_lemanc","z_laut","z_lequ","z_lcho","z_lvoi","z_incscale"
1,3,840,1995,6,"East North Central","Midwest","White",1,0,0,"Democrat",0,3,2,1,4,,,,,,,,,,,,,,44,0,0,8,1,3,5,3,1,1,0,"Did not finish HS",0.24537,0,0,0,-1.12733674839528,0.684164779269578,3,4,4,1.26222990756364,0.626256593020687,1,1,5,-0.93819958791454,0.452050157742635,0,0,-0.927567571849531,0.771586888129888,-0.432718500148928,1,0,0.696962140587202,-0.121274071050417,-0.986009826971476,-0.343492324431946,-0.734658740298445,0.831701678582619,-0.397335595925896,-0.773209870091378,-0.0994261265568622
2,3,840,1995,7,"West North Central","Midwest","White",1,0,0,"Independent",0,3,3,1,4,,,,,,,,,,,,,,40,1,0,7,3,1,9,7,0,0,0,"Some college",0.623056,0,0,1,0.125631677910071,0.702699549491361,2,3,3,-0.303593230664265,0.462428387961549,6,7,5,0.45003862322889,0.377252084405762,2,2,1.07704355996514,0.675698282198414,0.33728015760996,1,0,0.696962140587202,-0.232387143983891,-0.464297329237733,0.440564937229661,0.18076307902141,-0.039452653927551,0.38920081624209,0.588803897347104,0.703552664201048
3,3,840,1995,2,"Middle Atlantic","Northeast","White",1,0,0,"Democrat",0,3,3,1,4,,,,,,,,,,,,,,43,0,0,1,2,1,5,7,0,0,0,"Some college",0.735,1,0,1,0.471476466386469,0.757386361734995,2,3,3,-0.303593230664265,0.462428387961549,10,10,10,2.03332997440672,0.518648671384036,0,3,-0.374409573005362,0.709746375045413,0.456700909280889,1,0,0.696962140587202,-0.149052339283785,-0.725153578104604,0.562166068085137,0.433438133573981,-0.039452653927551,1.28624880755642,-0.397371984110741,-0.0994261265568622
4,3,840,1995,6,"East North Central","Midwest","White",1,0,0,"Democrat",0,1,2,1,4,,,,,,,,,,,,,,36,1,0,8,6,3,6,7,0,0,0,"Some college",0.35375,0,0,0,-1.12733674839528,0.684164779269578,2,4,4,1.24614257487763,0.621290673642376,1,1,1,-1.7355264725249,0.591394744301695,1,1,0.212692492770619,0.568754066178133,-0.35100703831798,0,0,-0.439346877008906,-0.343500216917365,0.318271417362881,-0.260288978083255,-0.734658740298445,0.822751402382329,-0.849078403545326,0.00152887191442893,0.101318571132615
5,3,840,1995,7,"West North Central","Midwest","White",1,0,0,"Democrat",0,1,2,1,4,,,,,,,,,,,,,,25,1,0,1,4,0,4,8,0,0,1,"College educated",0.651667,1,0,1,0.471476466386469,0.757386361734995,2,3,3,-0.303593230664265,0.462428387961549,1,10,10,1.35812441249929,0.524141496045734,0,3,-0.374409573005362,0.709746375045413,0.287899518804033,0,0,-0.439346877008906,-0.649061167484419,-0.203441080370862,0.390282708746349,0.433438133573981,-0.039452653927551,0.903696479090317,-0.397371984110741,-0.30017082424634
6,3,840,1995,7,"West North Central","Midwest","White",1,0,0,"Democrat",0,3,3,1,3,,,,,,,,,,,,,,39,0,0,8,3,3,5,8,0,0,1,"College educated",0.491361,0,0,1,0.125631677910071,0.702699549491361,2,2,3,-0.58958635123165,0.469927477417546,,7,8,0.779236111006208,0.385133780324735,0,2,-0.508587718237694,0.705259242403882,-0.0483265701382662,1,0,0.696962140587202,-0.26016541221726,-0.464297329237733,0.0479178176664487,0.18076307902141,-0.198566502719149,0.575714779661826,-0.488538035319067,-0.0994261265568622
7,3,840,1995,7,"West North Central","Midwest","White",1,0,0,"Democrat",0,3,4,2,3,,,,,,,,,,,,,,80,1,0,3,,1,4,4,1,0,0,"HS grad",0.318195,1,0,1,0.471476466386469,0.757386361734995,1,3,2,-1.42890890025337,0.31262271779401,1,1,4,-1.12971854148054,0.444184728122431,0,1,-0.707339238667621,0.723983984503147,-0.698622553503765,1,0,0.696962140587202,0.878743585350851,,-0.614251243083723,0.433438133573981,-0.665528228537848,-0.50584480521779,-0.623577845698569,-0.30017082424634
8,3,840,1995,7,"West North Central","Midwest","White",1,0,0,"Republican",1,1,1,1,4,,,,,,,,,,,,,,48,1,0,3,9,1,6,7,0,0,0,"Some college",0.316019,0,0,0,-1.12733674839528,0.684164779269578,1,3,3,-0.311666814055464,0.463273419997865,1,1,3,-1.25847352079993,0.456107328317005,1,3,0.451837526554453,0.570289024264847,-0.561409889174055,0,0,-0.439346877008906,-0.0101609981169427,1.1008401639635,-0.474533355558087,-0.734658740298445,-0.0439444365423388,-0.578793726137655,0.164013666725114,0.101318571132615
9,3,840,1995,7,"West North Central","Midwest","White",1,0,0,"Republican",1,2,4,1,4,,,,,,,,,,,,,,93,1,0,9,7,3,8,7,0,0,0,"Some college",0.15125,0,0,0,-1.12733674839528,0.684164779269578,1,3,3,-0.311666814055464,0.463273419997865,1,1,1,-1.7355264725249,0.591394744301695,0,1,-0.707339238667621,0.723983984503147,-0.970467318410815,0,0,0.128807631789148,1.23986107238464,0.579127666229753,-0.891059338555503,-0.734658740298445,-0.0439444365423388,-0.849078403545326,-0.623577845698569,0.50280796651157
10,3,840,1995,5,"West South Central","South","Black",0,1,0,"Democrat",0,3,3,2,2,,,,,,,,,,,,,,32,0,0,8,6,1,5,3,1,1,0,"Did not finish HS",0.276667,0,0,1,0.125631677910071,0.702699549491361,1,2,4,0.636468423059308,0.42956674372774,1,1,1,-1.7355264725249,0.591394744301695,0,2,-0.508587718237694,0.705259242403882,-0.370503522448303,1,1,0.696962140587202,-0.454613289850839,0.318271417362881,-0.280141428220949,0.18076307902141,0.4835558279849,-0.849078403545326,-0.488538035319067,-0.0994261265568622
